time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-2.04,1758.13,2.0,232.67
1.0,2,1468.55,659.46,2.0,1615.33,420.64,2.0,280.33
1.0,3,1665.01,1822.76,2.0,1575.1,1887.49,2.0,110.78
1.0,4,1433.31,474.67,2.0,1356.27,499.93,2.0,81.07
1.0,5,62.47,485.63,2.0,-16.29,480.13,2.0,78.95
1.0,6,2153.66,762.62,2.0,1642.25,993.71,2.0,561.19
1.0,7,1875.03,1819.11,2.0,2114.55,1665.98,2.0,284.29
1.0,8,1424.18,553.63,2.0,1430.34,562.06,2.0,10.44
1.0,9,562.91,645.51,2.0,470.99,900.99,2.0,271.51
1.0,10,747.94,2211.36,2.0,438.75,2186.61,2.0,310.18
1.0,11,1764.9,970.34,2.0,2025.89,844.85,2.0,289.59
1.0,14,-1.67,1259.46,2.0,-71.33,1378.56,2.0,137.98
1.0,15,1906.5,1411.21,2.0,1883.44,1383.44,2.0,36.1
1.0,16,836.37,1321.72,2.0,696.72,1252.49,2.0,155.87
1.0,17,-190.5,438.9,2.0,-134.87,14.75,2.0,427.78
1.0,18,-70.78,1969.01,2.0,196.75,1918.72,2.0,272.21
1.0,19,292.4,1154.16,2.0,770.33,613.66,2.0,721.5
1.0,20,1182.37,507.19,2.0,1304.97,910.86,2.0,421.87
1.0,21,1281.24,-90.79,2.0,1365.89,-35.09,2.0,101.34
1.0,22,-187.09,829.25,2.0,-0.42,619.16,2.0,281.05
1.0,23,1342.84,-229.36,2.0,972.36,-209.54,2.0,371.02
1.0,24,165.04,1218.83,2.0,212.8,1486.36,2.0,271.75
1.0,25,2177.44,1597.52,2.0,2036.37,1554.43,2.0,147.5
1.0,26,350.85,2090.52,2.0,376.39,2103.76,2.0,28.76
1.0,27,29.91,-101.42,2.0,-88.28,78.93,2.0,215.62
1.0,28,655.04,319.75,2.0,706.89,436.39,2.0,127.65
1.0,29,2089.36,1716.11,2.0,2036.26,1579.88,2.0,146.22
1.0,30,1482.86,-125.25,2.0,1629.59,1.09,2.0,193.63
1.0,32,1975.06,2129.63,2.0,2146.92,1972.98,2.0,232.54
1.0,34,771.04,1517.05,2.0,861.4,1432.89,2.0,123.48
1.0,35,1703.23,1414.12,2.0,1805.53,1343.02,2.0,124.57
1.0,36,39.18,2005.9,2.0,-22.08,1999.04,2.0,61.65
1.0,37,617.56,419.38,2.0,592.89,457.32,2.0,45.25
1.0,38,912.27,204.59,2.0,1076.81,174.43,2.0,167.29
1.0,39,1858.06,1552.38,2.0,1930.21,1568.15,2.0,73.86
1.0,41,766.4,-15.95,2.0,833.05,-33.99,2.0,69.05
1.0,43,1976.93,956.03,2.0,1962.18,968.23,2.0,19.14
1.0,44,301.49,1170.25,2.0,328.96,1042.38,2.0,130.79
1.0,45,1529.99,139.05,2.0,1586.2,-96.64,2.0,242.3
1.0,46,2173.16,1868.2,2.0,2164.09,2062.71,2.0,194.72
1.0,47,217.79,-41.15,2.0,135.34,0.41,2.0,92.33
1.0,48,698.48,796.42,2.0,808.15,950.84,2.0,189.4
1.0,49,2000.28,1526.92,2.0,2000.01,1500.0,2.0,26.92
1.0,50,614.84,-72.26,2.0,612.5,4.18,2.0,76.48
1.0,51,1752.16,366.64,2.0,1992.31,351.97,2.0,240.6
1.0,52,406.71,331.91,2.0,754.57,245.43,2.0,358.45
1.0,53,805.7,18.76,2.0,944.04,116.56,2.0,169.43
1.0,54,1101.2,308.75,2.0,1765.54,265.54,2.0,665.74
1.0,55,185.59,1343.27,2.0,-76.11,1118.17,2.0,345.18
