time_sec,imsi,true_x,true_y,true_z,est_x,est_y,est_z,error_m
1.0,1,-192.51,1624.49,2.0,-1.79,1758.0,2.0,232.8
1.0,2,1468.55,659.46,2.0,1543.51,366.93,2.0,301.98
1.0,3,1665.01,1822.76,2.0,1567.77,1882.93,2.0,114.34
1.0,4,1433.31,474.67,2.0,1356.27,499.93,2.0,81.07
1.0,5,62.47,485.63,2.0,-16.27,480.11,2.0,78.93
1.0,6,2153.66,762.62,2.0,1642.25,993.71,2.0,561.19
1.0,7,1875.03,1819.11,2.0,2114.55,1665.98,2.0,284.29
1.0,8,1424.18,553.63,2.0,1428.0,559.33,2.0,6.85
1.0,9,562.91,645.51,2.0,470.24,901.21,2.0,271.98
1.0,10,747.94,2211.36,2.0,438.75,2186.61,2.0,310.18
1.0,11,1764.9,970.34,2.0,2014.91,843.41,2.0,280.38
1.0,14,-1.67,1259.46,2.0,-69.52,1377.51,2.0,136.17
1.0,15,1906.5,1411.21,2.0,1883.44,1383.44,2.0,36.1
1.0,16,836.37,1321.72,2.0,683.86,1191.39,2.0,200.6
1.0,17,-190.5,438.9,2.0,-134.87,14.75,2.0,427.78
1.0,18,-70.78,1969.01,2.0,196.74,1918.7,2.0,272.21
1.0,19,292.4,1154.16,2.0,770.31,613.63,2.0,721.51
1.0,20,1182.37,507.19,2.0,1305.36,910.02,2.0,421.18
1.0,21,1281.24,-90.79,2.0,1365.66,-34.18,2.0,101.64
1.0,23,1342.84,-229.36,2.0,967.11,-208.78,2.0,376.3
1.0,24,165.04,1218.83,2.0,212.8,1486.36,2.0,271.76
1.0,25,2177.44,1597.52,2.0,2035.73,1554.85,2.0,148.0
1.0,26,350.85,2090.52,2.0,374.55,2101.53,2.0,26.13
1.0,27,29.91,-101.42,2.0,-88.28,78.93,2.0,215.62
1.0,28,655.04,319.75,2.0,640.79,335.59,2.0,21.32
1.0,29,2089.36,1716.11,2.0,2034.89,1580.48,2.0,146.16
1.0,30,1482.86,-125.25,2.0,1629.59,1.18,2.0,193.69
1.0,32,1975.06,2129.63,2.0,2143.6,1958.82,2.0,239.96
1.0,34,771.04,1517.05,2.0,862.78,1430.11,2.0,126.39
1.0,35,1703.23,1414.12,2.0,1803.37,1338.9,2.0,125.24
1.0,36,39.18,2005.9,2.0,-22.08,1999.04,2.0,61.65
1.0,37,617.56,419.38,2.0,592.58,456.65,2.0,44.87
1.0,38,912.27,204.59,2.0,1070.34,177.14,2.0,160.44
1.0,39,1858.06,1552.38,2.0,1925.28,1562.7,2.0,68.01
1.0,41,766.4,-15.95,2.0,832.93,-33.41,2.0,68.79
1.0,43,1976.93,956.03,2.0,1961.59,968.94,2.0,20.05
1.0,44,301.49,1170.25,2.0,328.96,1042.38,2.0,130.79
1.0,45,1529.99,139.05,2.0,1582.82,-99.55,2.0,244.38
1.0,46,2173.16,1868.2,2.0,2166.54,2055.91,2.0,187.82
1.0,48,698.48,796.42,2.0,808.52,949.41,2.0,188.46
