timestamp,ue_id,estimated_ue_x,estimated_ue_y,estimated_ue_z,ue_x,ue_y,ue_z,rsrp_observed,ecgi,anomaly_score_wi
1.0,1,-1.79,1758.0,2.0,-192.51,1624.49,2.0,-65.572,001-01-0000001,0.981704
1.0,2,1543.51,366.93,2.0,1468.55,659.46,2.0,-80.795,001-01-0000001,0.376378
1.0,3,1567.77,1882.93,2.0,1665.01,1822.76,2.0,-89.934,001-01-0000001,0.243637
1.0,4,1356.27,499.93,2.0,1433.31,474.67,2.0,-66.12,001-01-0000001,0.946171
1.0,5,-16.27,480.11,2.0,62.47,485.63,2.0,-44.867,001-01-0000001,0.978902
1.0,6,1642.25,993.71,2.0,2153.66,762.62,2.0,-93.779,001-01-0000001,0.006386
1.0,7,2114.55,1665.98,2.0,1875.03,1819.11,2.0,-90.033,001-01-0000001,0.336216
1.0,8,1428.0,559.33,2.0,1424.18,553.63,2.0,-69.206,001-01-0000001,0.908004
1.0,9,470.24,901.21,2.0,562.91,645.51,2.0,-74.166,001-01-0000001,0.334058
1.0,10,438.75,2186.61,2.0,747.94,2211.36,2.0,-77.892,001-01-0000001,0.836094
1.0,11,2014.91,843.41,2.0,1764.9,970.34,2.0,-75.876,001-01-0000001,0.886485
1.0,14,-69.52,1377.51,2.0,-1.67,1259.46,2.0,-65.479,001-01-0000001,0.944367
1.0,15,1883.44,1383.44,2.0,1906.5,1411.21,2.0,-86.59,001-01-0000001,0.411585
1.0,16,683.86,1191.39,2.0,836.37,1321.72,2.0,-64.459,001-01-0000001,0.956998
1.0,17,-134.87,14.75,2.0,-190.5,438.9,2.0,-49.713,001-01-0000001,0.0
1.0,18,196.74,1918.7,2.0,-70.78,1969.01,2.0,-72.167,001-01-0000001,0.924026
1.0,19,770.31,613.63,2.0,292.4,1154.16,2.0,-68.784,001-01-0000001,0.643564
1.0,20,1305.36,910.02,2.0,1182.37,507.19,2.0,-83.739,001-01-0000001,0.192345
1.0,21,1365.66,-34.18,2.0,1281.24,-90.79,2.0,-64.778,001-01-0000001,0.951904
